path,HE_T
0,-0.23311
1,0.333481
2,0.119501
3,0.19996
4,-0.390557
5,0.350827
6,-0.348337
7,0.125214
8,-0.421138
9,0.0161171
10,0.271211
11,-0.316691
12,1.02725
13,-0.716085
14,0.582434
15,-0.130154
16,-0.0976753
17,0.0182556
18,0.0971997
19,-0.203698
20,0.156386
21,-0.158238
22,0.23533
23,0.886573
24,-0.169127
25,-0.409705
26,0.978331
27,0.870204
28,1.29279
29,-0.25314
30,1.25373
31,-0.165147
32,-0.150587
33,-0.397851
34,-0.565792
35,-0.600456
36,0.326925
37,-0.20387
38,0.553579
39,0.222663
40,-0.0723012
41,-0.152518
42,-0.446162
43,-0.154332
44,0.467934
45,-0.117132
46,0.0986842
47,0.196107
48,0.0317809
49,0.0633591
50,-0.0739344
51,-0.972921
52,0.635421
53,-0.14287
54,-0.810626
55,-0.389995
56,-0.198198
57,0.642554
58,0.344095
59,-0.0969697
60,0.13772
61,-0.1049
62,0.0891583
63,1.02363
64,0.495935
65,0.0946761
66,0.493549
67,-0.27531
68,0.326661
69,-0.0470836
70,0.515726
71,0.283548
72,-0.211327
73,-0.135708
74,0.50733
75,0.112841
76,-0.102639
77,-0.0594302
78,0.114803
79,0.212537
80,-0.426703
81,0.498477
82,-0.476473
83,-0.222497
84,0.583854
85,-0.135658
86,0.0719445
87,-0.985238
88,0.592645
89,0.0989183
90,0.0849262
91,0.0666221
92,0.130946
93,0.867725
94,0.955791
95,0.204176
96,-0.296291
97,-0.673378
98,0.428749
99,-0.372716
100,0.426818
101,-1.05982
102,0.12811
103,0.125819
104,0.473587
105,0.127137
106,-0.0105946
107,0.449988
108,-0.319114
109,-0.538104
110,-0.199022
111,-0.0977784
112,-0.154963
113,0.310656
114,0.508449
115,-0.129128
116,0.280054
117,-0.558495
118,-1.18128
119,-0.190775
120,0.391743
121,-0.211819
122,0.473586
123,1.06599
124,0.17116
125,-0.95482
126,0.538117
127,-0.201546
128,1.78929
129,-0.905052
130,-0.417187
131,-0.410267
132,0.116867
133,0.509853
134,-0.368292
135,0.389936
136,-0.0213061
137,-0.140332
138,1.17387
139,-0.799835
140,1.05859
141,0.751289
142,0.144884
143,-0.674439
144,0.563345
145,0.398371
146,0.544819
147,1.4591
148,0.0816423
149,0.822567
150,-0.160567
151,-0.194248
152,0.3581
153,0.204159
154,0.530295
155,-0.250232
156,-0.13536
157,0.507956
158,-0.0298854
159,0.282423
160,0.16351
161,0.751121
162,-0.470626
163,0.0712774
164,1.45751
165,-0.408568
166,0.219524
167,-0.186646
168,-0.179711
169,-1.81869
170,0.371393
171,0.227163
172,0.103774
173,-0.151209
174,-0.338118
175,0.193359
176,0.213963
177,-0.327735
178,-0.334479
179,0.24847
180,-0.294788
181,-0.422133
182,-0.312868
183,0.114409
184,0.475082
185,0.0906391
186,0.145662
187,-0.127325
188,0.0886411
189,-0.277301
190,0.0475195
191,-0.548442
192,0.261742
193,0.381613
194,-0.335184
195,-0.697866
196,-0.30088
197,0.390063
198,0.17183
199,-0.627068
200,-0.158032
201,-0.419522
202,-0.067611
203,-0.205731
204,-0.285708
205,0.192246
206,0.606713
207,-0.524794
208,-1.18973
209,-0.6099
210,0.356036
211,-0.575104
212,-1.46744
213,-0.690602
214,0.608079
215,-0.0687994
216,0.615045
217,0.494206
218,0.175524
219,-0.147258
220,0.129984
221,0.665831
222,0.422244
223,-0.496778
224,-0.402264
225,0.595324
226,-0.0703933
227,0.169794
228,0.0339525
229,-0.481018
230,0.269286
231,0.761861
232,0.640319
233,-0.401602
234,0.43531
235,0.0858745
236,0.602141
237,0.611902
238,-0.326734
239,0.0245455
240,-0.311197
241,1.39521
242,0.0496681
243,-0.0334463
244,0.0537905
245,-0.0549822
246,-0.0989923
247,0.386541
248,-0.161399
249,0.685613
250,-0.326017
251,-0.077604
252,-0.444222
253,-0.474317
254,0.61515
255,0.159707
256,-1.09335
257,0.147858
258,0.1454
259,0.00997322
260,0.311417
261,0.325732
262,1.14513
263,-0.738371
264,-0.0125486
265,0.434605
266,1.29595
267,0.34509
268,-0.454624
269,0.433077
270,-0.0636353
271,-0.434301
272,-0.21222
273,0.314707
274,-0.338055
275,0.268389
276,0.0969926
277,-0.0322103
278,-0.615657
279,-0.57578
280,-0.140162
281,-0.114695
282,-0.00801696
283,0.356112
284,0.270088
285,-1.05783
286,-0.19991
287,-0.265804
288,-0.397356
289,-0.119124
290,0.0320385
291,0.256613
292,-0.114514
293,0.682979
294,0.319772
295,-0.235003
296,0.161615
297,-0.0932781
298,-0.335214
299,-1.1238
300,0.211007
301,0.327973
302,-0.679879
303,-0.489489
304,-0.504975
305,-0.480181
306,-1.58593
307,-0.234942
308,0.0683045
309,0.0608943
310,0.762507
311,-1.12838
312,0.578318
313,-0.182121
314,0.657681
315,2.69245e-05
316,0.866584
317,-0.139098
318,0.630965
319,-0.0120538
320,-0.545193
321,-0.392802
322,-0.139575
323,0.182214
324,0.387248
325,0.356429
326,-0.379598
327,-0.0358921
328,-0.384519
329,-0.878562
330,0.818492
331,0.347188
332,-0.23928
333,0.556686
334,-0.491627
335,-1.38544
336,-0.469582
337,-0.670506
338,-1.35023
339,0.568732
340,-0.6948
341,1.05986
342,-0.557016
343,0.0669763
344,-0.0475317
345,-0.0935964
346,0.371295
347,0.313202
348,0.205511
349,-0.78566
350,-0.291062
351,0.152685
352,0.199473
353,-0.399248
354,0.421568
355,-0.193474
356,0.404104
357,0.208326
358,-0.266301
359,0.26829
360,-0.0699667
361,0.540865
362,-0.0456608
363,-0.269474
364,0.0118195
365,-1.04799
366,0.36216
367,-0.0443977
368,0.294211
369,0.0433124
370,-0.0113833
371,0.872459
372,-0.0352071
373,0.802836
374,-0.347854
375,0.742169
376,0.384209
377,0.181403
378,0.167688
379,-0.357092
380,0.105105
381,0.0646446
382,-0.230811
383,0.257202
384,0.11888
385,-0.133372
386,-0.645485
387,-0.442149
388,0.830238
389,0.214253
390,0.139955
391,-0.721833
392,0.120728
393,0.714777
394,0.730661
395,-1.36835
396,0.355224
397,0.301306
398,0.219953
399,-0.579462
400,-0.0940993
401,0.215474
402,0.465114
403,0.494574
404,0.236777
405,-0.198549
406,-0.905701
407,-0.0226482
408,-0.277179
409,-0.111356
410,-1.0466
411,0.23378
412,0.206964
413,0.406553
414,-0.401273
415,0.631993
416,0.227614
417,-0.321733
418,0.0187761
419,-0.0201219
420,0.235381
421,0.139573
422,0.573355
423,0.108486
424,0.127104
425,-0.101746
426,-0.612642
427,0.315746
428,0.30001
429,0.757075
430,0.918232
431,0.31506
432,-1.51346
433,0.23195
434,-0.663351
435,-0.106374
436,0.464887
437,0.0274804
438,0.031648
439,0.105812
440,-0.185551
441,-0.36277
442,-0.561639
443,0.326981
444,0.20832
445,-0.174197
446,-0.116972
447,0.408669
448,-0.143051
449,0.994039
450,-0.0628928
451,0.773867
452,-0.00263909
453,0.615666
454,0.12017
455,-0.659731
456,0.0771678
457,0.17192
458,-0.110058
459,-0.204123
460,-0.154837
461,0.365551
462,0.729374
463,-0.147238
464,-0.18472
465,0.785777
466,0.389083
467,-0.933999
468,-0.191077
469,1.15875
470,0.734294
471,-0.279578
472,0.088611
473,1.47235
474,-0.221849
475,-0.267451
476,0.23926
477,0.915992
478,0.464174
479,1.47842
480,-0.744936
481,-0.229736
482,0.198372
483,-0.0660252
484,-0.250971
485,0.4274
486,-0.452342
487,-0.564333
488,-0.7433
489,-0.202346
490,-0.169218
491,-0.182417
492,0.133681
493,-0.131153
494,0.171122
495,0.407863
496,-1.57974
497,0.384404
498,-0.127258
499,-0.155963
500,-0.112448
501,-0.195516
502,0.0504875
503,0.038944
504,-0.228305
505,0.0513158
506,-0.18018
507,0.256081
508,0.364573
509,-0.197046
510,0.181427
511,0.183545
512,-0.484397
513,0.104231
514,0.151398
515,-0.090254
516,0.470526
517,-0.626194
518,-0.465313
519,-0.0923723
520,-0.180218
521,-0.240066
522,-0.17851
523,-1.19737
524,-0.232664
525,0.161401
526,0.0912359
527,0.440541
528,-0.693178
529,-0.0234089
530,0.645122
531,-0.41544
532,0.111245
