path,step,C
0,0,4.39168
0,1,3.6988
0,2,3.64134
0,3,3.88233
0,4,2.60004
0,5,2.12967
0,6,2.47624
0,7,2.03178
0,8,1.4632
0,9,1.24556
0,10,1.30851
0,11,1.89396
0,12,1.35574
0,13,1.09838
0,14,0.866709
0,15,0.844113
0,16,1.43937
0,17,1.13687
0,18,0.833002
0,19,0.827605
0,20,0.606237
0,21,0.508074
0,22,0.609462
0,23,0.658057
0,24,0.494534
0,25,0.467061
0,26,0.571836
0,27,0.631296
0,28,0.695244
0,29,0.523472
0,30,0.643357
0,31,0.612514
0,32,0.707061
0,33,1.14261
0,34,0.983949
0,35,0.828318
0,36,0.56876
0,37,0.543302
0,38,0.644938
0,39,0.549176
0,40,0.58857
0,41,0.741768
0,42,0.688637
0,43,0.301727
0,44,0.277119
0,45,0.303746
0,46,0.313678
0,47,0.266753
0,48,0.349248
0,49,0.39238
0,50,0.22384
0,51,0.104509
0,52,0.107191
0,53,0.0810771
0,54,0.143394
0,55,0.128641
0,56,0.110867
0,57,0.119727
0,58,0.155177
0,59,0.13258
0,60,0.254727
0,61,0.275213
0,62,0.273654
0,63,0.227601
0,64,0.134148
0,65,0.114432
0,66,0.184994
0,67,0.185666
0,68,0.197063
0,69,0.351435
0,70,0.177932
0,71,0.241441
0,72,0.265397
0,73,0.197804
0,74,0.19715
0,75,0.193425
0,76,0.154108
0,77,0.399764
0,78,0.320458
0,79,0.22905
0,80,0.18556
0,81,0.0324493
0,82,0.0153871
0,83,0.00709406
0,84,0.0104157
0,85,0.0175832
0,86,0.0165207
0,87,0.0256683
0,88,0.00839156
0,89,0.0191325
0,90,0.0207596
0,91,0.0152443
0,92,0.00501419
0,93,0.00465537
0,94,0.00266867
0,95,0.00164089
0,96,0.00344186
0,97,0.00264292
0,98,0.000869631
0,99,0.00150756
0,100,0
1,0,4.39168
1,1,4.22177
1,2,4.41219
1,3,4.77777
1,4,5.12027
1,5,5.66215
1,6,5.45314
1,7,5.18855
1,8,5.68433
1,9,6.28752
1,10,6.93799
1,11,5.02367
1,12,5.15449
1,13,5.25374
1,14,4.20601
1,15,4.19882
1,16,4.69685
1,17,4.52458
1,18,3.27119
1,19,3.10019
1,20,3.09857
1,21,3.20495
1,22,2.97933
1,23,3.94626
1,24,2.92716
1,25,2.90606
1,26,3.47172
1,27,2.71824
1,28,3.01651
1,29,3.98679
1,30,4.68418
1,31,4.45114
1,32,5.10496
1,33,5.02849
1,34,5.93721
1,35,4.11809
1,36,4.32797
1,37,3.45037
1,38,3.89728
1,39,3.43103
1,40,2.97783
1,41,2.73613
1,42,2.6203
1,43,2.35045
1,44,2.1947
1,45,1.93735
1,46,2.5952
1,47,2.00217
1,48,2.20647
1,49,3.11208
1,50,3.39042
1,51,3.32542
1,52,2.33583
1,53,2.53664
1,54,3.48158
1,55,2.70659
1,56,4.10988
1,57,4.36695
1,58,4.2623
1,59,3.08795
1,60,2.20489
1,61,2.48436
1,62,2.1464
1,63,1.642
1,64,1.64264
1,65,1.86033
1,66,1.60774
1,67,1.85673
1,68,1.51161
1,69,1.71456
1,70,1.63196
1,71,1.30569
1,72,1.70387
1,73,1.13967
1,74,0.824774
1,75,0.606815
1,76,0.581212
1,77,0.428537
1,78,0.566867
1,79,0.454371
1,80,0.63127
1,81,0.612274
1,82,0.841346
1,83,1.24618
1,84,2.11183
1,85,3.29251
1,86,5.85658
1,87,6.37871
1,88,4.50777
1,89,2.95844
1,90,2.88727
1,91,4.34845
1,92,4.82778
1,93,4.49458
1,94,4.74771
1,95,3.30167
1,96,1.62061
1,97,2.31465
1,98,3.14548
1,99,1.13926
1,100,1.34264
2,0,4.39168
2,1,4.00563
2,2,3.29527
2,3,2.57777
2,4,2.81305
2,5,2.43724
2,6,2.28452
2,7,2.59611
2,8,2.35552
2,9,2.64671
2,10,2.82059
2,11,3.20966
2,12,4.33903
2,13,4.94767
2,14,5.006
2,15,3.87569
2,16,3.10235
2,17,2.5163
2,18,2.79191
2,19,2.29407
2,20,2.05952
2,21,2.91595
2,22,2.40042
2,23,2.04354
2,24,1.90565
2,25,1.86218
2,26,1.68887
2,27,2.02157
2,28,1.88486
2,29,1.12082
2,30,1.16936
2,31,1.07246
2,32,1.45821
2,33,1.5206
2,34,1.47253
2,35,1.73444
2,36,1.31394
2,37,1.0696
2,38,1.01563
2,39,0.794221
2,40,0.713839
2,41,1.08772
2,42,1.07652
2,43,0.876254
2,44,0.87355
2,45,0.928398
2,46,0.812188
2,47,0.725263
2,48,0.613352
2,49,0.337571
2,50,0.226776
2,51,0.161218
2,52,0.0897408
2,53,0.0467549
2,54,0.0519997
2,55,0.0488012
2,56,0.0547449
2,57,0.0510689
2,58,0.0480611
2,59,0.0269163
2,60,0.0106306
2,61,0.0106453
2,62,0.00956669
2,63,0.0136436
2,64,0.0101132
2,65,0.0120611
2,66,0.00797726
2,67,0.0106801
2,68,0.00359473
2,69,0.00223577
2,70,0.00267204
2,71,0.000577751
2,72,0.000445748
2,73,0.000302433
2,74,0.00061949
2,75,0.000512466
2,76,0.000294446
2,77,0.00114827
2,78,0.000658209
2,79,0.000487875
2,80,0.00015839
2,81,0.000124699
2,82,0.000116499
2,83,5.37081e-06
2,84,6.86723e-06
2,85,1.92361e-06
2,86,3.84792e-08
2,87,5.87842e-10
2,88,5.22454e-12
2,89,1.41356e-12
2,90,5.47085e-15
2,91,1.5511e-15
2,92,-2.862e-15
2,93,0
2,94,0
2,95,0
2,96,0
2,97,0
2,98,0
2,99,0
2,100,0
3,0,4.39168
3,1,4.22127
3,2,4.85126
3,3,5.92089
3,4,5.84499
3,5,7.17129
3,6,8.4307
3,7,7.34084
3,8,6.48988
3,9,7.26981
3,10,7.10533
3,11,6.424
3,12,6.20518
3,13,5.65493
3,14,5.07884
3,15,6.4194
3,16,6.00953
3,17,6.36631
3,18,4.63031
3,19,5.28791
3,20,5.84311
3,21,5.15914
3,22,4.73176
3,23,5.64192
3,24,4.66444
3,25,5.70749
3,26,6.78317
3,27,6.41345
3,28,6.95004
3,29,7.40319
3,30,8.2219
3,31,7.47982
3,32,6.85909
3,33,4.8504
3,34,4.77528
3,35,5.4651
3,36,5.17024
3,37,5.2939
3,38,4.94752
3,39,3.62528
3,40,3.06329
3,41,2.32781
3,42,1.50384
3,43,1.23313
3,44,0.999182
3,45,0.970035
3,46,1.20778
