path,step,S
0,0,100
0,1,98.3796
0,2,98.3137
0,3,99.0125
0,4,95.4767
0,5,93.9442
0,6,95.258
0,7,93.7748
0,8,91.4591
0,9,90.4638
0,10,90.908
0,11,93.6481
0,12,91.3722
0,13,90.0976
0,14,88.7453
0,15,88.7103
0,16,92.2298
0,17,90.7905
0,18,89.0074
0,19,89.0962
0,20,87.4709
0,21,86.6671
0,22,87.7704
0,23,88.3236
0,24,86.9493
0,25,86.802
0,26,87.9861
0,27,88.6505
0,28,89.3099
0,29,87.9609
0,30,89.1755
0,31,89.0611
0,32,89.9641
0,33,92.822
0,34,92.078
0,35,91.2497
0,36,89.4244
0,37,89.3496
0,38,90.3645
0,39,89.7139
0,40,90.2121
0,41,91.5396
0,42,91.311
0,43,87.6439
0,44,87.4641
0,45,88.0291
0,46,88.3453
0,47,87.8577
0,48,89.1633
0,49,89.8443
0,50,87.7367
0,51,85.1861
0,52,85.4896
0,53,84.7909
0,54,86.9255
0,55,86.7702
0,56,86.4962
0,57,86.98
0,58,88.084
0,59,87.7811
0,60,90.2905
0,61,90.7938
0,62,90.9918
0,63,90.5542
0,64,89.0222
0,65,88.7768
0,66,90.5603
0,67,90.8202
0,68,91.2657
0,69,93.4911
0,70,91.4534
0,71,92.6928
0,72,93.2604
0,73,92.5886
0,74,92.8546
0,75,93.0789
0,76,92.7091
0,77,95.9166
0,78,95.4721
0,79,94.7494
0,80,94.4656
0,81,90.6666
0,82,89.6146
0,83,88.7015
0,84,89.849
0,85,91.2561
0,86,91.6434
0,87,92.9185
0,88,91.6352
0,89,93.493
0,90,94.1995
0,91,94.3509
0,92,93.5639
0,93,94.2548
0,94,94.5052
0,95,95.0051
0,96,96.7518
0,97,97.7241
0,98,98.4567
0,99,100.73
0,100,100.548
1,0,100
1,1,99.6785
1,2,100.205
1,3,101.107
1,4,101.919
1,5,103.097
1,6,102.753
1,7,102.288
1,8,103.359
1,9,104.576
1,10,105.809
1,11,102.251
1,12,102.599
1,13,102.878
1,14,100.704
1,15,100.772
1,16,101.957
1,17,101.667
1,18,98.7474
1,19,98.378
1,20,98.4685
1,21,98.8514
1,22,98.3306
1,23,100.879
1,24,98.3803
1,25,98.42
1,26,100.012
1,27,98.0842
1,28,99.0233
1,29,101.511
1,30,103.096
1,31,102.7
1,32,104.098
1,33,104.034
1,34,105.787
1,35,102.35
1,36,102.888
1,37,101.025
1,38,102.149
1,39,101.179
1,40,100.157
1,41,99.6221
1,42,99.4134
1,43,98.7481
1,44,98.3911
1,45,97.679
1,46,99.8006
1,47,98.1469
1,48,98.9158
1,49,101.47
1,50,102.23
1,51,102.19
1,52,99.7946
1,53,100.474
1,54,102.866
1,55,101.162
1,56,104.37
1,57,104.961
1,58,104.865
1,59,102.558
1,60,100.464
1,61,101.35
1,62,100.575
1,63,99.1729
1,64,99.3293
1,65,100.174
1,66,99.5274
1,67,100.467
1,68,99.5292
1,69,100.351
1,70,100.256
1,71,99.3206
1,72,100.811
1,73,99.0615
1,74,97.8771
1,75,96.8979
1,76,96.9733
1,77,96.1498
1,78,97.3704
1,79,96.8706
1,80,98.2507
1,81,98.401
1,82,99.7726
1,83,101.495
1,84,103.951
1,85,106.334
1,86,110.039
1,87,110.749
1,88,108.507
1,89,106.39
1,90,106.437
1,91,108.635
1,92,109.331
1,93,109.032
1,94,109.425
1,95,107.81
1,96,105.598
1,97,106.875
1,98,108.028
1,99,105.822
1,100,106.343
2,0,100
2,1,99.1547
2,2,97.381
2,3,95.3111
2,4,96.1491
2,5,95.032
2,6,94.6013
2,7,95.7452
2,8,95.0423
2,9,96.0956
2,10,96.7261
2,11,97.9397
2,12,100.842
2,13,102.249
2,14,102.449
2,15,100.011
2,16,98.102
2,17,96.459
2,18,97.4029
2,19,95.9342
2,20,95.2208
2,21,98.0546
2,22,96.5948
2,23,95.4856
2,24,95.0882
2,25,95.0351
2,26,94.467
2,27,95.8461
2,28,95.4597
2,29,92.1858
2,30,92.5726
2,31,92.1805
2,32,94.2088
2,33,94.603
2,34,94.5207
2,35,95.7122
2,36,94.0625
2,37,92.9698
2,38,92.8109
2,39,91.6004
2,40,91.1892
2,41,93.6217
2,42,93.7043
2,43,92.7184
2,44,92.8518
2,45,93.3271
2,46,92.7763
2,47,92.359
2,48,91.7028
2,49,89.2026
2,50,87.7872
2,51,86.7077
2,52,84.8966
2,53,83.0857
2,54,83.643
2,55,83.6956
2,56,84.2812
2,57,84.3225
2,58,84.3975
2,59,83.0539
2,60,81.006
2,61,81.3037
2,62,81.3552
2,63,82.4875
2,64,82.0979
2,65,82.814
2,66,82.209
2,67,83.1796
2,68,81.2393
2,69,80.691
2,70,81.4002
2,71,79.1116
2,72,79.1149
2,73,78.9487
2,74,80.5065
2,75,80.6583
2,76,80.2931
2,77,82.8446
2,78,82.454
2,79,82.5083
2,80,81.4816
2,81,81.7323
2,82,82.2288
2,83,79.4037
2,84,80.3463
2,85,79.8423
2,86,77.3583
2,87,75.344
2,88,73.5811
2,89,74.0388
2,90,71.9832
2,91,73.5393
2,92,74.3906
2,93,74.2653
2,94,75.1808
2,95,75.1008
2,96,73.9786
2,97,72.1224
2,98,73.5518
2,99,73.4971
2,100,72.2892
3,0,100
3,1,99.6773
3,2,101.191
3,3,103.46
3,4,103.384
3,5,105.883
3,6,108.032
3,7,106.304
3,8,104.876
3,9,106.314
3,10,106.098
3,11,104.965
3,12,104.636
3,13,103.671
3,14,102.599
3,15,105.237
3,16,104.563
3,17,105.284
3,18,101.978
3,19,103.41
3,20,104.55
3,21,103.312
3,22,102.522
3,23,104.401
3,24,102.547
3,25,104.677
3,26,106.646
3,27,106.089
3,28,107.065
3,29,107.867
3,30,109.197
3,31,108.124
3,32,107.199
3,33,103.686
3,34,103.622
3,35,105.021
3,36,104.556
3,37,104.87
3,38,104.303
3,39,101.633
3,40,100.377
3,41,98.4463
3,42,95.6804
3,43,94.6245
3,44,93.5775
3,45,93.5636
3,46,94.9277
3,47,94.7821
3,48,95.9429
3,49,96.3986
3,50,95.5971
3,51,94.8211
3,52,95.4366
3,53,95.0958
3,54,96.4534
3,55,96.4263
3,56,97.13
3,57,98.4129
3,58,93.9541
3,59,93.5857
3,60,96.0477
3,61,95.8999
3,62,96.8882
3,63,95.9152
3,64,94.4
3,65,92.8627
3,66,93.1374
